日期,代號,名稱,收盤價,總成交量(張),外資買超(張),投信買超(張),三大法人合計(張),法人買超佔比(%)
20260305,9904,寶成            ,29.8,7441,1803,-120,1625,21.84
20260305,1514,亞力            ,117.0,3231,526,0,526,16.28
20260305,2886,兆豐金          ,39.3,17718,-1407,596,-738,-4.17
20260305,1513,中興電          ,160.0,4352,-394,-19,-458,-10.52
20260305,1216,統一            ,71.2,11528,-5339,81,-4975,-43.16
20260304,1514,亞力            ,113.0,5915,319,0,180,3.04
20260304,2886,兆豐金          ,38.9,32826,-8343,308,-7465,-22.74
20260304,1216,統一            ,71.6,12205,-3867,63,-3392,-27.79
20260304,1513,中興電          ,155.0,8639,-2581,0,-2818,-32.62
20260304,9904,寶成            ,29.05,14522,-5218,-15,-5364,-36.94
20260303,2886,兆豐金          ,40.4,19764,8880,-964,8198,41.48
20260303,1216,統一            ,73.9,11131,3557,-321,3346,30.06
20260303,1514,亞力            ,122.5,6165,821,0,796,12.91
20260303,1513,中興電          ,165.5,8129,-984,-51,-1573,-19.35
20260303,9904,寶成            ,30.25,11259,-2154,-1087,-3328,-29.56
20260302,1216,統一            ,73.6,15888,4842,-270,4596,28.93
20260302,2886,兆豐金          ,40.2,20905,4369,1091,5757,27.54
20260302,1514,亞力            ,124.0,5007,234,0,171,3.42
20260302,9904,寶成            ,30.8,8662,870,-1246,-422,-4.87
20260302,1513,中興電          ,171.5,8394,-2682,-69,-2945,-35.08
20260306,2886,兆豐金          ,39.3,13971,4027,105,4753,34.02
20260306,9904,寶成            ,30.1,4870,1466,18,1556,31.95
20260306,1216,統一            ,71.9,9018,-3262,2682,-287,-3.18
20260306,1513,中興電          ,160.0,4891,-1011,0,-826,-16.89
20260306,1514,亞力            ,117.5,5232,-985,0,-937,-17.91
20260226,1513,中興電          ,175.5,16103,3641,-179,3629,22.54
20260226,2886,兆豐金          ,40.55,30792,1229,198,1351,4.39
20260226,9904,寶成            ,31.05,8237,2373,-2569,-404,-4.9
20260226,1514,亞力            ,128.0,17045,-1459,0,-1584,-9.29
20260226,1216,統一            ,72.5,25709,-10404,-917,-12368,-48.11
20260225,1216,統一            ,74.7,12335,5822,-3112,2097,17.0
20260225,2886,兆豐金          ,40.55,20413,4751,-1227,2833,13.88
20260225,9904,寶成            ,30.8,6923,484,-970,-969,-14.0
20260225,1513,中興電          ,170.5,12302,-2793,-3,-2185,-17.76
20260225,1514,亞力            ,130.5,21223,-6053,0,-5647,-26.61
20260224,2886,兆豐金          ,40.8,22432,2806,116,2377,10.6
20260224,1514,亞力            ,123.0,2999,29,0,25,0.83
20260224,9904,寶成            ,31.05,7886,912,-384,57,0.72
20260224,1513,中興電          ,168.0,5149,-24,-1,-57,-1.11
20260224,1216,統一            ,74.0,13714,3936,-3034,-1953,-14.24
20260223,2886,兆豐金          ,40.95,38043,20061,-259,18460,48.52
20260223,1216,統一            ,75.1,20495,10489,-1948,7967,38.87
20260223,1513,中興電          ,168.0,7716,1220,-99,1375,17.82
20260223,9904,寶成            ,31.15,10937,3051,-1378,1536,14.04
20260223,1514,亞力            ,124.5,3678,34,0,59,1.6
